('0  You are in the bedroom.')
('0  You are in the dim corridor.')
('0  You''re in the parlor.')
('0  You are in the locked room.')
('0  You are in the dining room.')
('0  You are in the kitchen.')
('0  You''re at a brick wall.')
('0  You''re in foyer.')
('0  You''re in the upstairs hallway.')
('0  This is the smoking room.')
('0  You''re in the workshop.')
('0  You are in the garden.')
('0  You are in the library.')
('0  You are in the lab.')
('0  You''re in the boudoir.')
('0  You are in a dark E/W passage.')
('0  You''re in single mirror chamber.')
('0  You''re in a dark E/W corridor.')
('0  You''re in the dark room.')
('0  You are in the attic entrance.')
('0  You are in an old attic.')
('0  You''re in a cedar closet.')
('0  You''re in a low E/W passage.')
('0  You''re in the laundry room.')
('0  You''re in the storage room.')
('0  You are at the side of the dirt road.')
('0  You are wandering around the mirror maze.')
('0  You are in "L" shaped corridor.')
('0  You''re underneath a window.')
('0  You''re at the end of the road.')
('0  You''re in pantry.')
('0  You are at the side of the moat.')
('0  You are in the armor room.')
('0  You''re at the fork.')
('0  You''re in torture chamber.')
('0  You''re in slab room.')
('0  You are at bottom of spiral stairs.')
('0  You''re at top of tower.')
('0  You are beneath small window.')
('0  You''re on the far side of the moat')
('0  You''re in a huge anteroom.')
('0  You''re at a steep ledge.')
('0  You''re in the Master chamber.')
('0  You are in the square room.')
('0  You''re in a sloping N/S passage.')
('0  You''re in narrow room.')
('0  You are in the fire room.')
('0  You''re in glowing rock room.')
('0  This is the blue room.')
('0  You are in narrow E/W passage.')
('0  You are in a twisty tunnel.')
('0  You''re in the compass room.')
('0  You are outside a small room.')
('0  You are at the heart shaped arch.')
('0  You''re in honeymoon suite.')
('0  You are in the empty room.')
('0  You''re in a maze of short and winding passages.')
('0  You''re in a long and winding maze of passages.')
('0  You''re in a winding, long maze of passages.')
('0  You''re in a maze of long and winding passages.')
('0  You''re in a maze of winding, long passages.')
('0  You''re in a short and winding maze of passages.')
('0  You''re in a winding maze of short passages.')
('0  Dead end.')
('0  You are in the glacier room.')
('0  You are in the long damp tunnel.')
('0  You''re overlooking waterfall.')
('0  You are at the base of the waterfall.')
('0  This is the lobby.')
('0  You''re in elevator on top floor.')
('0  You''re in elevator on bottom floor.')
('0  You are in the treasure vault.')
('0  You are in the burial grounds.')
('0  You are at four tunnel junction.')
('0  You are in rain forest.')
('0  You are up on a small ledge.')
('0  You are in the graffiti room.')
('0  You''re at east end of a damp, earthen tunnel.')
('0  You''re at west end of a damp, earthen tunnel.')
('0  You are in the wine cellar.')
('0  You are on the island near the falls.')
('0  You''re at north end of an immense cavern.')
('0  You are at the south end of a large cavern.')
('0  You are at the top of a steep precipice.')
('0  This is the disco room.')
('0  You''re in the center of a tall tunnel.')
('0  You are in the land of the living dead.')
('0  You are in the cyclops'' lair.')
('0  You are deep inside the glacier.')
('0  You are in a cold, bending tunnel.')
('0  You''re at the border.')
('0  You are in the forest of tall trees.')
('0  You are in the throne room.')
('0  This is the Wizard''s cache.')
('0  You are in the main room of the warehouse.')
('0  You are in the west end of the warehouse.')
('0  You are in the north end of the warehouse.')
('0  You are in the east end of the warehouse.')
('0  You are in the elevator, stuck between floors.')
('0  END OF GAME')
